ref_number,sender_account,receiver_account,sender_name,receiver_name,transfer_amount,currency,value_date,transfer_type,status,channel,description
TRF-50023,AE860020001234567890123,AE330260001012345678901,ABC Trading LLC,Fatima Al Zaabi,7500.00,AED,2026-04-15T09:30:00,LOCAL,SUCCESS,CORPORATE,Salary
TRF-50024,AE190400001234567890987,AE070331234567890123456,XYZ Logistics FZ,Ahmed Al Mansouri,1800.00,AED,2026-04-15T12:45:00,LOCAL,SUCCESS,CORPORATE,Bonus payout
TRF-50025,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,2200.00,AED,2026-04-15T15:20:00,LOCAL,SUCCESS,MOBILE,Shared vacation
TRF-50026,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,14500.00,AED,2026-04-15T17:50:00,LOCAL,SUCCESS,CORPORATE,Project milestone
TRF-50027,AE330260001012345678901,AE070331234567890123456,Fatima Al Zaabi,Ahmed Al Mansouri,500.00,AED,2026-04-16T09:15:00,LOCAL,SUCCESS,MOBILE,Shopping share
TRF-50028,AE070331234567890123456,AE860020001234567890123,Ahmed Al Mansouri,DEWA,620.00,AED,2026-04-16T11:30:00,LOCAL,SUCCESS,WEB,Water and electricity
TRF-50029,AE190400001234567890987,AE860020001234567890123,XYZ Logistics FZ,ABC Trading LLC,9800.00,AED,2026-04-16T14:00:00,LOCAL,PENDING,CORPORATE,Partial payment
TRF-50030,AE860020001234567890123,IN30011210230199001234,ABC Trading LLC,Mumbai Suppliers Ltd,18500.00,INR,2026-04-16T16:25:00,INTERNATIONAL,SUCCESS,CORPORATE,Textile import
TRF-50031,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,1100.00,AED,2026-04-16T18:40:00,LOCAL,SUCCESS,MOBILE,Household items
TRF-50032,AE330260001012345678901,AE860020001234567890123,Fatima Al Zaabi,Etisalat,195.00,AED,2026-04-17T08:55:00,LOCAL,SUCCESS,MOBILE,Internet bill
TRF-50033,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,6200.00,AED,2026-04-17T11:20:00,LOCAL,SUCCESS,CORPORATE,Office supplies
TRF-50034,AE190400001234567890987,AE070331234567890123456,XYZ Logistics FZ,Ahmed Al Mansouri,3000.00,AED,2026-04-17T13:45:00,LOCAL,SUCCESS,CORPORATE,Freelance payment
TRF-50035,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,850.00,AED,2026-04-17T15:10:00,LOCAL,SUCCESS,MOBILE,Dinner plan
TRF-50036,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,28000.00,AED,2026-04-17T17:30:00,LOCAL,SUCCESS,CORPORATE,Final invoice
TRF-50037,AE330260001012345678901,AE070331234567890123456,Fatima Al Zaabi,Ahmed Al Mansouri,1350.00,AED,2026-04-17T19:00:00,LOCAL,FAILED,MOBILE,Insufficient balance
TRF-50038,AE070331234567890123456,INVALID_IBAN_TEST,Ahmed Al Mansouri,Test User,500.00,AED,2026-04-17T19:30:00,LOCAL,FAILED,MOBILE,Invalid account test
TRF-50039,AE190400001234567890987,AE860020001234567890123,XYZ Logistics FZ,ABC Trading LLC,11200.00,AED,2026-04-18T09:20:00,LOCAL,SUCCESS,CORPORATE,Service fee
TRF-50040,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,400.00,AED,2026-04-18T11:00:00,LOCAL,SUCCESS,MOBILE,Weekend trip
TRF-50041,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,17500.00,AED,2026-04-18T14:15:00,LOCAL,SUCCESS,CORPORATE,Recurring service
TRF-50042,AE330260001012345678901,AE860020001234567890123,Fatima Al Zaabi,ADDC,375.00,AED,2026-04-18T16:30:00,LOCAL,SUCCESS,MOBILE,Abu Dhabi utility
TRF-50043,AE070331234567890123456,AE190400001234567890987,Ahmed Al Mansouri,XYZ Logistics FZ,2800.00,AED,2026-04-18T18:45:00,LOCAL,SUCCESS,WEB,Insurance premium
TRF-50044,AE860020001234567890123,AE330260001012345678901,ABC Trading LLC,Fatima Al Zaabi,9500.00,AED,2026-04-18T20:00:00,LOCAL,SUCCESS,CORPORATE,Contract payment
TRF-50045,AE190400001234567890987,AE070331234567890123456,XYZ Logistics FZ,Ahmed Al Mansouri,5600.00,AED,2026-04-19T10:30:00,LOCAL,SUCCESS,CORPORATE,Quarterly dividend
TRF-50046,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,650.00,AED,2026-04-19T13:00:00,LOCAL,SUCCESS,MOBILE,Lunch treat
TRF-50047,AE860020001234567890123,PK36SCBL0000001123456702,ABC Trading LLC,Karachi Textiles,34000.00,PKR,2026-04-19T15:20:00,INTERNATIONAL,SUCCESS,CORPORATE,Export commission
TRF-50048,AE330260001012345678901,AE070331234567890123456,Fatima Al Zaabi,Ahmed Al Mansouri,1200.00,AED,2026-04-19T17:40:00,LOCAL,SUCCESS,MOBILE,Car maintenance
TRF-50049,AE190400001234567890987,AE860020001234567890123,XYZ Logistics FZ,ABC Trading LLC,8900.00,AED,2026-04-19T19:10:00,LOCAL,SUCCESS,CORPORATE,Warehouse rental
TRF-50050,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,3500.00,AED,2026-04-19T20:30:00,LOCAL,SUCCESS,MOBILE,School fees share
